Platform,dummy_HBO,id,title,exclusive,type,dummy_movie,description,release_year,L10Y_vs_old,L10Y_vs_old dummy,release_year_segments,age_certification,age_certification_segments,dummy_mature,dummy_NR,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
HBO Max,1,tm244142,The Batman,exclusive,MOVIE,1,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022,L10Y,1,New,PG-13,mature,1,0,176,"['thriller', 'crime', 'drama', 'scifi', 'action']",['US'],,tt1877830,8,456054,4447.894,7.8
Netflix,0,ts38796,Stranger Things,exclusive,SHOW,0,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016,L10Y,1,New,TV-14,mature,1,0,61,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5,tt4574334,8.7,1101055,2226.231,8.635
Netflix,0,tm852360,The Man from Toronto,exclusive,MOVIE,1,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at an Airbnb.",2022,L10Y,1,New,PG-13,mature,1,0,110,"['action', 'thriller', 'drama', 'romance', 'comedy']",['US'],,tt11671006,5.8,31497,1439.906,6.449
Netflix,0,ts20110,Peaky Blinders,exclusive,SHOW,0,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013,L10Y,1,New,TV-MA,mature,1,0,58,"['crime', 'drama', 'european']",['GB'],6,tt2442560,8.8,511668,1038.077,8.558
Netflix,0,tm1020438,Spiderhead,exclusive,MOVIE,1,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",2022,L10Y,1,New,R,mature,1,0,106,"['scifi', 'thriller', 'drama', 'action', 'crime']",['US'],,tt9783600,5.4,43239,996.869,5.8
Netflix,0,ts36147,Lucifer,exclusive,SHOW,0,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",2016,L10Y,1,New,TV-14,mature,1,0,47,"['scifi', 'crime', 'drama', 'fantasy']",['US'],6,tt4052886,8.1,313124,922.112,8.523
Netflix,0,ts271437,Money Heist (Korean Remake),exclusive,SHOW,0,"A story of genius strategists and robbers with different personalities and abilities.  Set in the Korean Peninsula, confronting extraordinary variables and carrying out unprecedented hostage robbery.",2022,L10Y,1,New,TV-MA,mature,1,0,70,"['action', 'drama', 'thriller', 'crime']",['KR'],1,tt13696452,5.2,5142,904.326,7.998
Netflix,0,ts21469,Grey's Anatomy,exclusive,SHOW,0,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005,Old,0,New,TV-14,mature,1,0,49,"['drama', 'romance']",['US'],19,tt0413573,7.6,299165,803.786,8.252
Netflix,0,tm1126268,Hustle,exclusive,MOVIE,1,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,2022,L10Y,1,New,R,mature,1,0,117,"['drama', 'sport', 'comedy']",['US'],,tt8009428,7.4,89770,746.928,7.9
Netflix,0,ts307745,Money Heist: From Tokyo to Berlin,exclusive,SHOW,0,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional and artistic process of filming Money Heist.",2021,L10Y,1,New,TV-MA,mature,1,0,53,"['documentation', 'crime', 'drama']",['ES'],2,tt15384346,7.7,890,712.899,7.391
Netflix,0,ts9,The Walking Dead,exclusive,SHOW,0,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010,Old,0,New,TV-MA,mature,1,0,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11,tt1520211,8.2,956604,597.277,8.1
HBO Max,1,tm1142230,Kimi,exclusive,MOVIE,1,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",2022,L10Y,1,New,R,mature,1,0,89,"['thriller', 'crime', 'drama']",['US'],,tt14128670,6.3,24267,565.886,6.2
Netflix,0,tm1221677,"Hello, Goodbye, and Everything in Between",exclusive,MOVIE,1,"Clare and Aidan, who after making a pact that they would break up before college, find themselves retracing the steps of their relationship on their last evening as a couple. The epic date leads them to familiar landmarks, unexpected places, and causes them to question whether high school love is meant to last.",2022,L10Y,1,New,PG-13,mature,1,0,83,"['drama', 'comedy', 'romance']",['US'],,tt4181158,4.9,1842,564.004,5.965
Netflix,0,tm1227918,Under the Amalfi Sun,exclusive,MOVIE,1,"A year after their romance began in Riccione, Vincenzo and Camilla reunite for a vacation on the picturesque Amalfi Coast and put their love to the test.",2022,L10Y,1,New,PG-13,mature,1,0,90,"['romance', 'comedy', 'drama']",['IT'],,tt15311262,5.2,502,561.722,6.3
Netflix,0,tm1137051,Bubble,exclusive,MOVIE,1,"In an abandoned Tokyo overrun by bubbles and gravitational abnormalities, one gifted young man has a fateful meeting with a mysterious girl.",2022,L10Y,1,New,PG,youth,0,0,101,"['scifi', 'fantasy', 'romance', 'sport', 'thriller', 'animation', 'action', 'drama']",['JP'],,tt16360006,6.3,4597,550.643,7.497
